127.0.0.1 - - [08/Aug/2023:09:50:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:50:56 +0530] "GET /candidateEvaluationApplication/ HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:50:57 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:51:05 +0530] "GET /candidateEvaluationApplication/candEvalApp/ HTTP/1.1" 200 1912
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:51:06 +0530] "GET /candidateEvaluationApplication/candEvalApp/resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:51:17 +0530] "POST /candidateEvaluationApplication/candEvalApp/login HTTP/1.1" 200 2062
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:51:44 +0530] "POST /candidateEvaluationApplication/candEvalApp/login HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:52:41 +0530] "POST /candidateEvaluationApplication/candEvalApp/login HTTP/1.1" 200 1671
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:53:05 +0530] "POST /candidateEvaluationApplication/candEvalApp/login HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:53:13 +0530] "POST /candidateEvaluationApplication/candEvalApp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:53:13 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62895
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:55:12 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62994
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:55:37 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62981
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:56:21 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 63124
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:56:46 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62895
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:57:30 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62895
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:57:31 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62895
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:57:32 +0530] "GET /candidateEvaluationApplication/candEvalApp/feedback/feedback-list HTTP/1.1" 200 16459
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:57:47 +0530] "GET /candidateEvaluationApplication/candEvalApp/feedback/feedback-list HTTP/1.1" 200 16459
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:57:51 +0530] "GET /candidateEvaluationApplication/candEvalApp/logout HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:57:58 +0530] "POST /candidateEvaluationApplication/candEvalApp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:09:57:58 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62894
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:06:08 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:06:08 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/resources/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:06:08 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/resources/css/bootstrap-icons.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:06:08 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/resources/css/main.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:06:46 +0530] "POST /candidateEvaluationApplication/candEvalApp/login HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:06:52 +0530] "POST /candidateEvaluationApplication/candEvalApp/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:06:52 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 62894
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:06:57 +0530] "GET /candidateEvaluationApplication/candEvalApp/report/generateReportByEvaluator/Mohan%20Kumar HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:11:46 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/candidate-list HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:11:46 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/resources/css/main.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:11:46 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/resources/css/bootstrap-icons.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [08/Aug/2023:10:11:46 +0530] "GET /candidateEvaluationApplication/candEvalApp/candidate/resources/css/bootstrap.min.css HTTP/1.1" 404 682
